"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 05 00:04:30 GMT 2024","Fri Jul 05 00:04:30 GMT 2024","32","Regression Test Suite","Infer flow API Tests","com.qa.tests.ModelsTest","com.qa.tests.ModelsTest","createModelValidationTest","createModelValidationTest",""
"passed","Fri Jul 05 00:04:30 GMT 2024","Fri Jul 05 00:04:30 GMT 2024","74","Regression Test Suite","Infer flow API Tests","com.qa.tests.VersionsTest","com.qa.tests.VersionsTest","deleteVersionSuccessTest","deleteVersionSuccessTest",""
"passed","Fri Jul 05 00:04:27 GMT 2024","Fri Jul 05 00:04:30 GMT 2024","2743","Regression Test Suite","Infer flow API Tests","com.qa.tests.ModelsTest","com.qa.tests.ModelsTest","createModelSuccessTest","createModelSuccessTest",""
"passed","Fri Jul 05 00:04:30 GMT 2024","Fri Jul 05 00:05:45 GMT 2024","75019","Regression Test Suite","Infer flow API Tests","com.qa.tests.InfersTest","com.qa.tests.InfersTest","sendPromptSuccessTest","sendPromptSuccessTest",""
"passed","Fri Jul 05 00:04:30 GMT 2024","Fri Jul 05 00:04:30 GMT 2024","61","Regression Test Suite","Infer flow API Tests","com.qa.tests.ModelsTest","com.qa.tests.ModelsTest","deleteModelSuccessTest","deleteModelSuccessTest",""
"passed","Fri Jul 05 00:04:30 GMT 2024","Fri Jul 05 00:04:30 GMT 2024","73","Regression Test Suite","Infer flow API Tests","com.qa.tests.VersionsTest","com.qa.tests.VersionsTest","createVersionSuccessTest","createVersionSuccessTest",""
